BEZEN | תכונות החיוניות | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [אדישות | חסרוני | דפוסי חשיבה] זה לא באמת מרגש
- [אדישות | חסרוני | דפוסי חשיבה] הכל נראה אותו דבר
- [אדישות | חסרוני | דפוסי חשיבה] אין משהו שבאמת מעניין אותי
- [אדישות | חסרוני | אמונות] התלהבות היא ילדותית
- [אדישות | חסרוני | אמונות] אין דברים באמת משמעותיים
- [אדישות | חסרוני | אמונות] כל דבר יאבד את הקסם שלו בסוף
- [אדישות | מוגזם | דפוסי חשיבה] זה הדבר הכי מדהים בעולם!
- [אדישות | מוגזם | דפוסי חשיבה] אני חייב לעשות את זה עכשיו!
- [אדישות | מוגזם | דפוסי חשיבה] זה משנה חיים!
- [אדישות | מוגזם | אמונות] אם זה לא מרגש - זה לא שווה
- [אדישות | מוגזם | אמונות] חייבים תמיד להרגיש בשיא
- [אדישות | מוגזם | אמונות] כל דבר חדש הוא מדהים
- [אדישות | חסרוני | דפוסי חשיבה] אין לי כוח לזה
- [אדישות | חסרוני | דפוסי חשיבה] זה דורש יותר מדי מאמץ
- [אדישות | חסרוני | דפוסי חשיבה] אני מרגיש מותש כל הזמן
- [אדישות | חסרוני | אמונות] אנרגיה היא משאב מוגבל
- [אדישות | חסרוני | אמונות] אי אפשר להתגבר על עייפות
- [אדישות | חסרוני | אמונות] המאמץ לא שווה את התוצאה
- [אדישות | מוגזם | דפוסי חשיבה] אני חייב לעשות משהו כל הזמן
- [אדישות | מוגזם | דפוסי חשיבה] מנוחה היא בזבוז זמן
- [אדישות | מוגזם | דפוסי חשיבה] יש עוד כל כך הרבה לעשות
- [אדישות | מוגזם | אמונות] מנוחה היא עצלנות
- [אדישות | מוגזם | אמונות] ערך עצמי תלוי בפעילות
- [אדישות | מוגזם | אמונות] תמיד צריך להספיק עוד
- [אדישות | חסרוני | דפוסי חשיבה] אין הרבה סיבות לשמחה
- [אדישות | חסרוני | דפוסי חשיבה] החיים הם סבל ברובם
- [אדישות | חסרוני | דפוסי חשיבה] שמחה היא זמנית וחולפת
- [אדישות | חסרוני | אמונות] שמחה אמיתית היא נדירה
- [אדישות | חסרוני | אמונות] סבל הוא מצב הבסיס
- [אדישות | חסרוני | אמונות] מי ששמח פשוט לא מבין את המציאות
- [אדישות | מוגזם | דפוסי חשיבה] הכל נהדר כל הזמן!
- [אדישות | מוגזם | דפוסי חשיבה] אין מקום לרגשות שליליים
- [אדישות | מוגזם | דפוסי חשיבה] חייבים להיות שמחים
- [אדישות | מוגזם | אמונות] אסור להרגיש רע
- [אדישות | מוגזם | אמונות] רגשות שליליים הם סימן לכישלון
- [אדישות | מוגזם | אמונות] תמיד חייבים להיראות שמחים
- [אדישות | חסרוני | דפוסי חשיבה] אני לא באמת כאן
- [אדישות | חסרוני | דפוסי חשיבה] הראש שלי במקום אחר
- [אדישות | חסרוני | דפוסי חשיבה] אני רק עובר את היום
- [אדישות | חסרוני | אמונות] המציאות משעממת
- [אדישות | חסרוני | אמונות] החיים קורים במקום אחר
- [אדישות | חסרוני | אמונות] אין טעם להתעמק בחוויה
