BEZEN | תכונות החיוניות | משפטים מועילים (מאוזן)
============================================================

- [אדישות | דפוסי חשיבה] זו הזדמנות מרגשת!
- [אדישות | דפוסי חשיבה] אני מרגיש חיות כשאני עושה זאת
- [אדישות | דפוסי חשיבה] יש משהו מרענן בהתנסות הזו
- [אדישות | אמונות] החיים הם מקור להתרגשות
- [אדישות | אמונות] התלהבות היא מתנה
- [אדישות | אמונות] אפשר למצוא עניין בדברים רבים
- [אדישות | דפוסי חשיבה] יש לי כוח לזה
- [אדישות | דפוסי חשיבה] אני מרגיש אנרגטי ומלא חיים
- [אדישות | דפוסי חשיבה] אפשר לעשות עוד
- [אדישות | אמונות] אנרגיה מגיעה מפעילות בעלת משמעות
- [אדישות | אמונות] אפשר לחדש כוחות
- [אדישות | אמונות] השקעת מאמץ מתגמלת
- [אדישות | דפוסי חשיבה] החיים יפים
- [אדישות | דפוסי חשיבה] יש כל כך הרבה דברים לשמוח בהם
- [אדישות | דפוסי חשיבה] אפשר ליהנות גם מדברים קטנים
- [אדישות | אמונות] שמחה היא בחירה
- [אדישות | אמונות] אפשר למצוא טוב בכל מצב
- [אדישות | אמונות] החיים נועדו להנאה
- [אדישות | דפוסי חשיבה] אני כאן עכשיו
- [אדישות | דפוסי חשיבה] זה מה שקורה ברגע זה
- [אדישות | דפוסי חשיבה] אני מתמקד במה שלפניי
- [אדישות | אמונות] החיים מתרחשים ברגע הזה
- [אדישות | אמונות] הנוכחות היא מפתח להנאה
- [אדישות | אמונות] יש ערך בחוויה המלאה
- [אדישות | דפוסי חשיבה] הגוף שלי חזק וקיבלתי כוח
- [אדישות | דפוסי חשיבה] אני מרגיש בריא ואנרגטי
- [אדישות | דפוסי חשיבה] יש לי סיבולת לאתגרים
- [אדישות | אמונות] הגוף הוא כלי יקר ערך
- [אדישות | אמונות] בריאות היא בסיס לחיים טובים
- [אדישות | אמונות] טיפוח הגוף מזין את הנפש
- [אדישות | דפוסי חשיבה] אני יכול להתמודד עם שינויים
- [אדישות | דפוסי חשיבה] קשיים הם זמניים
- [אדישות | דפוסי חשיבה] יש דרכים שונות להצליח
- [אדישות | אמונות] גמישות היא כוח
- [אדישות | אמונות] שינוי הוא הזדמנות
- [אדישות | אמונות] אפשר למצוא דרכים חדשות
- [אדישות | דפוסי חשיבה] אני נהנה מחיבור לאחרים
- [אדישות | דפוסי חשיבה] אני תורם משמעותית לקבוצה
- [אדישות | דפוסי חשיבה] יש ערך בקשרים שלי
- [אדישות | אמונות] קשרים מעשירים את החיים
- [אדישות | אמונות] לכל אדם מה לתרום
- [אדישות | אמונות] אפשר לאזן בין חברה לפרטיות
- [אדישות | דפוסי חשיבה] אני נהנה מתהליך היצירה
- [אדישות | דפוסי חשיבה] יש לי מה לתרום לעולם
- [אדישות | דפוסי חשיבה] מרגש אותי לראות משהו נוצר
- [אדישות | אמונות] כל אדם הוא יוצר
- [אדישות | אמונות] היצירה מביאה חיים
- [אדישות | אמונות] הביטוי העצמי חיוני לרווחה
