BEZEN | נדיבות | משפטים מועילים (מאוזן)
============================================================

- [קמצנות | דפוסי חשיבה] אני שמח לתת ממה שיש לי
- [קמצנות | דפוסי חשיבה] יש לי מספיק כדי לחלוק
- [קמצנות | דפוסי חשיבה] נתינה היא חלק מאיכות חיים
- [קמצנות | אמונות] עושר אמיתי הוא ביכולת לתת
- [קמצנות | אמונות] יש מספיק לכולם
- [קמצנות | אמונות] נתינה מעשירה את הנותן
- [קמצנות | דפוסי חשיבה] זמני הוא משאב יקר שאני שמח לחלוק
- [קמצנות | דפוסי חשיבה] אני יכול להיות נוכח עבור אחרים
- [קמצנות | דפוסי חשיבה] יש לי זמן להקשיב
- [קמצנות | אמונות] זמן שניתן לאחרים אינו מבוזבז
- [קמצנות | אמונות] נוכחות היא מתנה
- [קמצנות | אמונות] אפשר למצוא זמן למה שחשוב
- [קמצנות | דפוסי חשיבה] אני מבחין במה שניתן לי
- [קמצנות | דפוסי חשיבה] יש הרבה דברים להודות עליהם
- [קמצנות | דפוסי חשיבה] ההערכה משפרת את החיים
- [קמצנות | אמונות] יש טוב רב בעולם
- [קמצנות | אמונות] הכרת תודה פותחת את הלב
- [קמצנות | אמונות] ההערכה מעמיקה את החוויה
- [קמצנות | דפוסי חשיבה] יש הסבר הגיוני להתנהגות זו
- [קמצנות | דפוסי חשיבה] אנשים בדרך כלל עושים כמיטב יכולתם
- [קמצנות | דפוסי חשיבה] אפשר לראות זאת מזווית חיובית
- [קמצנות | אמונות] רוב האנשים פועלים מכוונה טובה
- [קמצנות | אמונות] טעויות הן אנושיות
- [קמצנות | אמונות] שיפוט מהיר מחמיץ את התמונה המלאה
- [קמצנות | דפוסי חשיבה] אנשים שונים זה מזה
- [קמצנות | דפוסי חשיבה] אפשר ללמוד מגיוון
- [קמצנות | דפוסי חשיבה] יש מקום למגוון דעות ואמונות
- [קמצנות | אמונות] שונות מעשירה את החברה
- [קמצנות | אמונות] האמת היא רב-ממדית
- [קמצנות | אמונות] אין דרך אחת נכונה לחיות
- [קמצנות | דפוסי חשיבה] אני יכול לשחרר ולהמשיך
- [קמצנות | דפוסי חשיבה] מחילה משחררת בעיקר אותי
- [קמצנות | דפוסי חשיבה] אפשר להפריד בין המעשה לאדם
- [קמצנות | אמונות] טינה פוגעת בעיקר במי שנושא אותה
- [קמצנות | אמונות] בני אדם ראויים לחסד
- [קמצנות | אמונות] אפשר להשתנות ולצמוח
- [קמצנות | דפוסי חשיבה] אני יכול לחלוק את מה שלמדתי
- [קמצנות | דפוסי חשיבה] הידע שלי יכול לשרת אחרים
- [קמצנות | דפוסי חשיבה] לכולנו יש מה ללמד
- [קמצנות | אמונות] ידע שלא משותף מתבזבז
- [קמצנות | אמונות] כולנו מורים ותלמידים
- [קמצנות | אמונות] חוכמה מתרבה כשמשתפים אותה
- [קמצנות | דפוסי חשיבה] יש מקום לכולם
- [קמצנות | דפוסי חשיבה] הגיוון מעשיר את חיינו
- [קמצנות | דפוסי חשיבה] יחד אנחנו חזקים יותר
- [קמצנות | אמונות] כולנו צריכים שייכות
- [קמצנות | אמונות] מעגלים פתוחים מתעשרים
- [קמצנות | אמונות] ניתן ליצור מרחב לכל אחד
