BEZEN | פתיחות מחשבתית | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] או שאתה איתי או נגדי
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] לא צריך לבזבז זמן על דעות שגויות
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אני כבר יודע מה נכון
- [סגירות מחשבתית | חסרוני | אמונות] האמת היא אחת ואני מחזיק בה
- [סגירות מחשבתית | חסרוני | אמונות] רוב הדעות האחרות פשוט שגויות
- [סגירות מחשבתית | חסרוני | אמונות] פתיחות היא סימן לחולשה
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] כל הדעות נכונות באותה מידה
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אני תמיד מסכים עם האדם האחרון שדיברתי איתו
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אין באמת דרך לדעת מה נכון
- [סגירות מחשבתית | מוגזם | אמונות] החזקה בדעה מוצקה היא צרות אופקים
- [סגירות מחשבתית | מוגזם | אמונות] עקביות מחשבתית היא מגבלה
- [סגירות מחשבתית | מוגזם | אמונות] הטלת ספק תמידית היא מטרה בפני עצמה
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] כך תמיד האמנתי וכך אאמין
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] עובדות נוגדות הן בוודאי טעות
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אין צורך לערער על אמיתות בסיסיות
- [סגירות מחשבתית | חסרוני | אמונות] לשנות דעה זה סימן לחולשה
- [סגירות מחשבתית | חסרוני | אמונות] עקביות חשובה יותר מדיוק
- [סגירות מחשבתית | חסרוני | אמונות] האמת המוכרת לי היא מוחלטת
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אולי כל מה שאני מאמין בו שגוי
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] חייב לערער על כל הנחה בכל רגע
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] האמונות שלי הן תמיד זמניות לגמרי
- [סגירות מחשבתית | מוגזם | אמונות] יציבות אמונות היא אשליה
- [סגירות מחשבתית | מוגזם | אמונות] צריך לשנות דעה כל הזמן
- [סגירות מחשבתית | מוגזם | אמונות] רק ספקנות קיצונית היא אותנטית
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] זה פשוט שחור או לבן
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אין טעם לסבך את העניינים
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] התשובה היא ברורה וחד-משמעית
- [סגירות מחשבתית | חסרוני | אמונות] לכל בעיה יש פתרון פשוט
- [סגירות מחשבתית | חסרוני | אמונות] מורכבות היא רק תירוץ
- [סגירות מחשבתית | חסרוני | אמונות] החיים אמורים להיות ברורים וחד-משמעיים
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] יש כל כך הרבה היבטים שאי אפשר להחליט
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] כל ניתוח רק מגלה עוד מורכבות
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אף פעם אין מספיק מידע
