BEZEN | ענווה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [כללי | לא-מסווג | דפוסי חשיבה] אני מבין את ערכי כאדם ומכיר בכך שלכל אחד יש מה לתרום.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שלהקשיב לאחרים וללמוד מהם הוא חלק בלתי נפרד מהצמיחה האישית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני רואה בהצלחותי תוצאה של שיתוף פעולה ומאמין שביקורת בונה מעשירה את הידע.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה תחושת הערכה עצמית שמאפשרת לי להיות פתוח להצלחות האחר.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חמלה והבנה כלפי עצמי וכלפי הזולת, גם בזמני הצלחה וגם בכישלון.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש שמחה כשאני משתף את ההישגים עם הצוות ומכבד את התרומה של כל אחד.
- [כללי | לא-מסווג | דפוסי חשיבה] אני משתף בהצלחות שלי ובטעויותיי כדי לקדם למידה והתפתחות קבוצתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מקבל ביקורת באופן פתוח ומיישם אותה לשיפור עצמי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מפגין נכונות לתת קרדיט לאחרים ולהכיר בתרומתם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל אדם זכאי להערכה ושכל הצלחה היא תוצר של מאמץ משותף.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שלמידה מתמשכת והקשבה הן הבסיס לצמיחה אישית וקבוצתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שענווה אמיתית מחזקת את האמון והכבוד ההדדי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נזהר שלא להמעיט בערכי עצמי תוך כדי פתיחות ללמידה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מודע לכך שלעיתים לחץ חברתי יכול לעודד צניעות מופרזת – ולכן אני בודק את גבולותיי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני שואף להימנע מהשפעה של אמונות מקובעות שעלולות להפחית את הביטחון העצמי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לראות את עצמי כמרכז ותורם עיקרי להצלחות, תוך התעלמות מהתרומה של אחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהידע והכישורים שלי מעלים אותי מעל לרוב הסובבים אותי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שלא תמיד יש צורך ללמוד מאחרים, כיוון שכבר יש לי את התשובות הנכונות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש תחושת עליונות שמונעת ממני לחפש עזרה או להקשיב לאחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה גאווה מוגברת כאשר הצלחותי מודגשות – ולעיתים גם זלזול בהצלחות הזולת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש תסכול או חוסר סבלנות כלפי ביקורת, שמאתגרת את דימויי העצמי הגבוה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מציג את הישגיי באופן בולט ואינו מאפשר להצלחות של אחרים לקבל מקום.
