BEZEN | עבודת צוות | משפטים מועילים (מאוזן)
============================================================

- [כללי | משפט מעבר] אני רואה את הצוות כמכלול שמשלב כוחות שונים להצלחה משותפת.
- [כללי | משפט מעבר] אני סבור שהשיתוף בכל רעיון מוביל לפתרונות יצירתיים ומגוונים.
- [כללי | משפט מעבר] אני מאמין שגישות שונות מעשירות את התהליך וקובעות את איכות ההחלטות.
- [כללי | משפט מעבר] אני חש עידוד והתלהבות כאשר אני משתף פעולה עם אחרים.
- [כללי | משפט מעבר] אני חווה תחושת סיפוק וגאווה מהצלחות הקבוצתיות.
- [כללי | משפט מעבר] אני חש אמון וביטחון הדדי שמסייעים להתמודדות עם אתגרים.
- [כללי | משפט מעבר] אני מקשיב באופן פעיל לחברי הצוות ותומך בהבעת רעיונותיהם.
- [כללי | משפט מעבר] אני משתף פעולה באופן שווה ומחלק תפקידים בהתאם לכישרונות.
- [כללי | משפט מעבר] אני מקדם דיאלוג פתוח ובונה תוך עידוד ביקורת בונה.
- [כללי | משפט מעבר] אני מאמין שכל חבר צוות תורם תרומה ייחודית להצלחת הקבוצה.
- [כללי | משפט מעבר] אני סבור ששיתוף פעולה מביא לתוצאות טובות יותר מאשר עבודה אישית בלבד.
- [כללי | משפט מעבר] אני מאמין שהכבוד ההדדי והקשבה הם יסודות להצלחה קבוצתית.
- [כללי | משפט מעבר] אני נוטה להאמין שהעבודה האישית היא היעילה ביותר ומזלזל בכוח הקבוצה.
- [כללי | משפט מעבר] אני סבור שהצטרפות לצוות יכולה לעכב את קבלת ההחלטות.
- [כללי | משפט מעבר] אני חושב שרעיונות של אחרים אינם תורמים באמת להצלחות אישיות.
- [כללי | משפט מעבר] אני חש תסכול או אדישות כלפי דיונים קבוצתיים.
- [כללי | משפט מעבר] אני חווה תחושת ניכור כאשר מתבקשים לשתף פעולה.
- [כללי | משפט מעבר] אני חש חוסר ביטחון לגבי תרומתי האמיתית לקבוצה.
- [כללי | משפט מעבר] אני נמנע מהשתתפות פעילה בדיונים קבוצתיים.
- [כללי | משפט מעבר] אני מעדיף לעבוד לבד גם כאשר נדרש שיתוף פעולה.
- [כללי | משפט מעבר] אני יכול להאמין ש נוטה להציע פתרונות משותפים או לתמוך ברעיונות של אחרים.
- [כללי | משפט מעבר] אני מאמין שהצלחתי תלויה ביכולתי האישית בלבד.
- [כללי | משפט מעבר] אני סבור ששיתוף פעולה מעכב את קבלת ההחלטות הנכונה.
- [כללי | משפט מעבר] אני מאמין שרעיונות שלי הם טובים יותר משל חברי הקבוצה.
- [כללי | משפט מעבר] אני סבור שכל החלטה יכולת להתקבל בהסכמה גורפת, גם במצבי חירום.
- [כללי | משפט מעבר] אני מאמין שכל רעיון, גם הקטן ביותר, יכול לעבור תהליך קבוצתי ארוך.
- [כללי | משפט מעבר] אני חושב שאי-השתתפות של אף אחד אינה מקובלת – כולם יכולים להסכים בכל פרט.
- [כללי | משפט מעבר] אני חש חרדה מהחלטות אישיות ואי-היכולת לקבל החלטה במהירות.
- [כללי | משפט מעבר] אני חווה לחץ מתמיד שלא לאכזב אף אחד בתוך הקבוצה.
- [כללי | משפט מעבר] אני חש חרדה מפירוד או קונפליקט אם לא תהיה הסכמה מוחלטת.
