BEZEN | זהירות | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [כללי | לא-מסווג | דפוסי חשיבה] אני שוקל את הסיכונים וההזדמנויות בצורה מושכלת ומבוססת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מנתח כל מצב בהתאם לנתונים ולנסיבות הקיימות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מבין שסיכון הוא חלק מהתפתחות, אך יש לנהוג בזהירות מתונה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש ביטחון עצמי עם מודעות לסכנות – לא פחדנות, לא זלזלות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה רוגע פנימי כאשר אני מתמודד עם מצבים מאתגרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש איזון בין חרדה מועטה לבין מוכנות לפעולה מושכלת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוקט בצעדים בטוחים לאחר בדיקת הסיכונים הקפדנית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מיישם אמצעי זהירות שמותאמים למצב מבלי לעכב את הפעולה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מבצע תהליכי בדיקה ובקרה לפני קבלת החלטות חשובות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהערכת סיכונים באופן נכון היא מפתח להצלחה ולשמירה על המשאבים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שחשיבה זהירה מאפשרת גם התקדמות וגם מניעת טעויות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין ששילוב בין ביטחון עצמי לבין זהירות הוא בסיס להצלחה בכל תחום.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מודע לכך שלעיתים יכול להיות עיכוב קל בהחלטות כאשר אני בודק כל פרט.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מזהה את הסיכון שבמדידה יתרה, אך שואף לשמור על גמישות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נזהר לא להיסחף להיסוס מוגזם שעלול לעכב הזדמנויות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להמעיט בחשיבות הסיכונים בסיטואציות שונות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהכל יסתדר, ולכן אין צורך בבדיקת סיכונים מעמיקה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתייחס למצב כסיכון נמוך גם כאשר קיימים סימנים מזהירים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש ביטחון מוגזם ואינו מלווה בתחושת חשש.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה חוסר חרדה גם במצבים שבהם יש סיכון אמיתי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש שאין צורך בהיערכות רגשית למצבים מסוכנים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לפעול אימפולסיבית ללא בדיקה מוקדמת של הסיכונים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתעלם מהמלצות או אמצעי זהירות שנועדו להגן עליי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני עשוי להיכנס למצבים מסוכנים מבלי לנקוט באמצעי זהירות בסיסיים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהסיכון הוא חלק מהחיים ושאין צורך להיתפס אליו.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שזלזול בסיכונים מוביל להישגים גדולים – לעיתים במחיר.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהזהירות מעכבת אותי מלהתנסות ולהתקדם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני רואה סכנה בכל מצב, גם כאשר אין לכך בסיס מוצק.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל פעולה עלולה להסתיים באסון, ולכן אין מקום לפעולה חופשית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שיש צורך לבדוק כל פרט לעומק, גם אם הדבר מונע התקדמות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חרדה מתמדת ופחד מוגזם גם במצבים בטוחים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה מתיחות ואי נוחות תמידית בעקבות חשיבה קפדנית על סכנות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש מתח שמוביל אותי להימנע מלקיחת סיכונים גם כאשר הם נחוצים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לעכב החלטות או לפעול באיטיות רבה בשל בדיקה מופרזת של כל הסיכונים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נמנע מלקחת כל צעד שמעלה אף ספק, גם אם יש סיכויים טובים להצלחה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני עשוי לבטל פעילויות חשובות בשל חשש יתר מכישלון.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל פעולה נושאת בחובה סכנה חמורה שיש להימנע ממנה בכל מחיר.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהזהירות היא הערך העליון, גם אם זה מעכב התקדמות אישית או מקצועית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהחיים מלאים בסכנות ולכן יש להימנע מלקחת סיכונים.
