BEZEN | מנהיגות | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [כללי | לא-מסווג | דפוסי חשיבה] אני מקשיב לדעות שונות ומעריך תרומות מגוונות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתכנן אסטרטגיות בצורה מערכתית ומתחשבת בכל הגורמים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני רואה בטעויות הזדמנות ללמידה והתפתחות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש ביטחון והשראה פנימית שמעבירה השראה לצוות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש הערכה ואמפתיה כלפי הצוות והצלחותיו.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חיבור ואמון המאפשר תגובות רגשיות מאוזנות גם בזמנים מאתגרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מקבל החלטות מושכלות תוך הקשבה לכל חברי הצוות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מעודד שיתוף פעולה ומאפשר לצוות לקחת יוזמה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מוביל בדוגמה אישית, מפעיל תמיכה והכוונה מתונה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל אדם יכול לתרום ולהתפתח בסביבת עבודה משותפת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהקשבה ודיאלוג הם הבסיס להצלחה קבוצתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהמנהיג הטוב מעצים את הצוות ומאפשר צמיחה אישית וקבוצתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להניח שאחרים יובילו את העניינים, ואיני סבור שיכולותיי משפיעות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שהמעורבות שלי אינה חשובה בהחלטות הקריטיות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מוותר על יוזמה מתוך תחושה שאינני מוסמך להוביל.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חוסר ביטחון עצמי שמעמעם את יכולתי להנהיג.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חרדה מהתמודדות עם קבלת החלטות משמעותיות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חוסר אחריות שמוביל לניתוק רגשי מהצוות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להימנע מלקחת יוזמה בסיטואציות קריטיות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני תלוי בדעות ובהוראות של אחרים לקבלת החלטות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מהסס לפעול גם כאשר נדרש תגובה מיידית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהמנהיגות היא תכונה שמיועדת לאנשים "מיוחדים" בלבד.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל התערבות מצידי עלולה להוביל לטעויות חמורות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהכישרון הטבעי שלי אינו מתאים להובלה ולניהול.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שרק החלטותי הן הנכונות ואין צורך בהיוועצות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שאין מקום לדיון – רק אני יודע מה הכי טוב לצוות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שכל טעות נובעת מחוסר הקשבה של אחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש עליונות ועצמתיות שמכתיבות את סגנון ההנהגה שלי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש כעס ותסכול כאשר אחרים לא מקשיבים או מתנגדים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש תחרותיות מוגזמת שמובילה לעיתים לתחושות קנאה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לשלוט בהחלטות הצוות ולהגביל את מעורבותם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוקט בגישת פקודות ללא מקום לשיח או לביקורת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מנהל את הקבוצה באופן דיקטטורי, מה שמעלה מתחים ופוגע בשיתוף הפעולה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהחלטותי תמיד נכונות ואין צורך בהיוועצות עם אחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהצוות זקוק להכוונה מתמדת ממני כדי להצליח.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכוח ונחישות הם המפתח להצלחה בכל מחיר.
