BEZEN | 1חוכמת חיים | משפטים מועילים (מאוזן)
============================================================

- [חוסר שיקול דעת | דפוסי חשיבה] מה אני יכול ללמוד מהמצב הזה?
- [חוסר שיקול דעת | דפוסי חשיבה] יש ערך בהתבוננות רחבה
- [חוסר שיקול דעת | דפוסי חשיבה] ידע והבנה מובילים לבחירות טובות יותר
- [חוסר שיקול דעת | דפוסי חשיבה] יש כאן משהו עמוק יותר להבין
- [חוסר שיקול דעת | דפוסי חשיבה] אני יכול לראות את הקשר בין הדברים
- [חוסר שיקול דעת | דפוסי חשיבה] עלי להקשיב למה שמעבר למילים
- [חוסר שיקול דעת | דפוסי חשיבה] בואו נבחן את העובדות לפני מסקנות
- [חוסר שיקול דעת | דפוסי חשיבה] אפשר ללמוד מניסיון קודם דומה
- [חוסר שיקול דעת | דפוסי חשיבה] יש קשר הגיוני בין סיבה לתוצאה
- [חוסר שיקול דעת | דפוסי חשיבה] בואו נפרק את הבעיה המורכבת לחלקיה
- [חוסר שיקול דעת | דפוסי חשיבה] אני מזהה דפוס שחוזר על עצמו כאן
- [חוסר שיקול דעת | דפוסי חשיבה] אפשר לראות את הקשרים הסמויים
- [חוסר שיקול דעת | דפוסי חשיבה] בואו נשקול את כל הזוויות הרלוונטיות
- [חוסר שיקול דעת | דפוסי חשיבה] יש כאן שיקולים שונים שצריך לאזן
- [חוסר שיקול דעת | דפוסי חשיבה] מה הדבר הנבון באמת לעשות
- [חוסר שיקול דעת | דפוסי חשיבה] מה הדבר הנכון והראוי לעשות במצב זה
- [חוסר שיקול דעת | דפוסי חשיבה] איזה ערכים מהותיים מעורבים כאן
- [חוסר שיקול דעת | דפוסי חשיבה] כיצד החלטתי תשפיע על הזולת
- [חוסר שיקול דעת | דפוסי חשיבה] איך אפשר ליישם את הידע בפועל
- [חוסר שיקול דעת | דפוסי חשיבה] חשובות התוצאות המעשיות
- [חוסר שיקול דעת | דפוסי חשיבה] בואו נבחן מה באמת עובד בשטח
- [חוסר שיקול דעת | דפוסי חשיבה] בואו נבחן את ההנחות הבסיסיות כאן
- [חוסר שיקול דעת | דפוסי חשיבה] מה המקורות והראיות התומכים
- [חוסר שיקול דעת | דפוסי חשיבה] האם יש הסברים חלופיים אפשריים
