BEZEN | אומץ | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [פחדנות | חסרוני | דפוסי חשיבה] עדיף לא להסתבך
- [פחדנות | חסרוני | דפוסי חשיבה] זה מסוכן מדי בשבילי
- [פחדנות | חסרוני | דפוסי חשיבה] מישהו אחר יתמודד עם זה
- [פחדנות | מוגזם | דפוסי חשיבה] אין לי ממה לפחד
- [פחדנות | מוגזם | דפוסי חשיבה] אני אסתדר עם כל מה שיבוא
- [פחדנות | מוגזם | דפוסי חשיבה] רק חלשים חוששים
- [פחדנות | חסרוני | דפוסי חשיבה] כדאי ללכת עם הזרם
- [פחדנות | חסרוני | דפוסי חשיבה] לא שווה להיות שונה
- [פחדנות | חסרוני | דפוסי חשיבה] חשוב יותר להיות מקובל
- [פחדנות | מוגזם | דפוסי חשיבה] אין מקום לגמישות בעקרונות
- [פחדנות | מוגזם | דפוסי חשיבה] מי שמתפשר הוא חלש אופי
- [פחדנות | מוגזם | דפוסי חשיבה] אמת אחת בלבד קיימת
- [פחדנות | חסרוני | דפוסי חשיבה] אני כבר יודע את האמת
- [פחדנות | חסרוני | דפוסי חשיבה] מידע סותר הוא בהכרח שגוי
- [פחדנות | חסרוני | דפוסי חשיבה] אני לא טועה לעולם
- [פחדנות | מוגזם | דפוסי חשיבה] אי אפשר לדעת שום דבר בוודאות
- [פחדנות | מוגזם | דפוסי חשיבה] תמיד יש עוד שאלות לשאול
- [פחדנות | מוגזם | דפוסי חשיבה] אסור לי להתחייב לעמדה
- [פחדנות | חסרוני | דפוסי חשיבה] עדיף לא להתבלט
- [פחדנות | חסרוני | דפוסי חשיבה] אם אביע את דעתי אנשים לא יאהבו אותי
- [פחדנות | חסרוני | דפוסי חשיבה] הסכמה טובה ממחלוקת
- [פחדנות | מוגזם | דפוסי חשיבה] חשוב להגיד את האמת בפרצוף
- [פחדנות | מוגזם | דפוסי חשיבה] רק חלשים מדברים בעדינות
- [פחדנות | מוגזם | דפוסי חשיבה] אם לא אתעקש לא אקבל
- [פחדנות | חסרוני | דפוסי חשיבה] אם נכשלתי זה אומר שאני כישלון
- [פחדנות | חסרוני | דפוסי חשיבה] אין טעם לנסות שוב
- [פחדנות | חסרוני | דפוסי חשיבה] כישלון הוא הוכחה לחוסר יכולת
- [פחדנות | מוגזם | דפוסי חשיבה] זה לא באמת משנה אם הצלחתי
- [פחדנות | מוגזם | דפוסי חשיבה] אין צורך לנתח כישלונות
- [פחדנות | מוגזם | דפוסי חשיבה] אפשר פשוט להמשיך הלאה
- [פחדנות | חסרוני | דפוסי חשיבה] אני חייב לדעת מה יקרה בדיוק
- [פחדנות | חסרוני | דפוסי חשיבה] אסונות קורים במצבים לא צפויים
- [פחדנות | חסרוני | דפוסי חשיבה] בלי תוכנית מפורטת אני אכשל
- [פחדנות | מוגזם | דפוסי חשיבה] אין טעם בתכנון במצבי אי-ודאות
- [פחדנות | מוגזם | דפוסי חשיבה] יותר טוב פשוט לקפוץ למים
- [פחדנות | מוגזם | דפוסי חשיבה] עדיף לפעול מהר מאשר לחשוב יותר מדי
- [פחדנות | חסרוני | דפוסי חשיבה] עדיף לא להסתכן עם רעיונות חדשים
