BEZEN | אומץ | משפטים מועילים (מאוזן)
============================================================

- [פחדנות | דפוסי חשיבה] אני מפחד, אבל אפעל בכל זאת
- [פחדנות | דפוסי חשיבה] אפשר להתמודד עם האתגר הזה
- [פחדנות | דפוסי חשיבה] הסיכון מחושב ושווה את המאמץ
- [פחדנות | דפוסי חשיבה] אני מאמין בזה גם אם אני בודד בדעתי
- [פחדנות | דפוסי חשיבה] יש דברים שאינם ניתנים לפשרה
- [פחדנות | דפוסי חשיבה] המצפון שלי מנחה אותי
- [פחדנות | דפוסי חשיבה] הראיות מובילות למסקנה שונה ממה שחשבתי
- [פחדנות | דפוסי חשיבה] חשוב לבחון את הנחות היסוד שלי
- [פחדנות | דפוסי חשיבה] אני יכול לטעות
- [פחדנות | דפוסי חשיבה] חשוב לי להביע את עמדתי גם כשהיא לא פופולרית
- [פחדנות | דפוסי חשיבה] יש מקום לכל הדעות
- [פחדנות | דפוסי חשיבה] אפשר להביע מחלוקת בכבוד
- [פחדנות | דפוסי חשיבה] כישלון הוא חלק מתהליך הלמידה
- [פחדנות | דפוסי חשיבה] ניתן להפיק לקחים מכל אכזבה
- [פחדנות | דפוסי חשיבה] זו לא הפעם האחרונה שאנסה
- [פחדנות | דפוסי חשיבה] אי אפשר לדעת הכל מראש
- [פחדנות | דפוסי חשיבה] אפשר להתקדם גם בתנאים של עמימות
- [פחדנות | דפוסי חשיבה] אתמודד עם האתגרים בדרך
- [פחדנות | דפוסי חשיבה] שווה לנסות גישה חדשה
- [פחדנות | דפוסי חשיבה] אפשר לחשוב על זה אחרת
- [פחדנות | דפוסי חשיבה] יצירתיות דורשת נכונות להיכשל
- [פחדנות | דפוסי חשיבה] חשוב להכיר ברגשות שלי
- [פחדנות | דפוסי חשיבה] אפשר לשתף את האחר במה שאני מרגיש
- [פחדנות | דפוסי חשיבה] פגיעות יכולה להיות מקור לחוזק
