BEZEN | יצירתיות חוזקה 8 תכונות ו15 מאפייניה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] זו הדרך היחידה לעשות זאת
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] תמיד עשינו כך, למה לשנות
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אני לא רואה אפשרויות אחרות
- [נוקשות חשיבתית | חסרוני | אמונות] שינוי הוא תמיד מסוכן
- [נוקשות חשיבתית | חסרוני | אמונות] אם זה עבד פעם, זה יעבוד תמיד
- [נוקשות חשיבתית | חסרוני | אמונות] חדשנות היא סיכון מיותר
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] בוא נשנה הכל שוב
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] למה להתמיד בכיוון אחד
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] כל רעיון חדש מושך את תשומת לבי
- [נוקשות חשיבתית | מוגזם | אמונות] עקביות היא מגבלה על היצירתיות
- [נוקשות חשיבתית | מוגזם | אמונות] שגרה היא אויב החשיבה
- [נוקשות חשיבתית | מוגזם | אמונות] רק שינוי תמידי מוביל לחדשנות
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אני לא מצליח לדמיין זאת
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] זה לא מציאותי בכלל
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] עדיף להישאר עם מה שידוע שעובד
- [נוקשות חשיבתית | חסרוני | אמונות] רק מה שמוכח הוא בעל ערך
- [נוקשות חשיבתית | חסרוני | אמונות] דמיון הוא בזבוז זמן
- [נוקשות חשיבתית | חסרוני | אמונות] יש עובדות ומציאות, כל השאר הוא פנטזיה
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] הכל אפשרי אם רק נדמיין
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] מגבלות הן רק בראש שלנו
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] למה להתייחס למגבלות המציאות
- [נוקשות חשיבתית | מוגזם | אמונות] אם רק נחשוב על משהו מספיק, הוא יתממש
- [נוקשות חשיבתית | מוגזם | אמונות] מציאות היא רק מה שאנחנו בוחרים לדמיין
- [נוקשות חשיבתית | מוגזם | אמונות] חוקי הפיזיקה והכלכלה גמישים
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אם זה לא שבור, אל תתקן
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] חדשנות זה סיכון מיותר
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] בואו נמשיך כפי שתמיד עשינו
- [נוקשות חשיבתית | חסרוני | אמונות] חדש הוא תמיד מסוכן ולא בדוק
- [נוקשות חשיבתית | חסרוני | אמונות] המצב הקיים הוא תמיד העדיף
- [נוקשות חשיבתית | חסרוני | אמונות] חדשנות היא אופנה חולפת
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] צריך תמיד לחדש ולשנות
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] ישן זה מיושן בהכרח
