BEZEN | נדיבות | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [קמצנות | חסרוני | דפוסי חשיבה] אסור לבזבז
- [קמצנות | חסרוני | דפוסי חשיבה] צריך לחסוך כל אגורה
- [קמצנות | חסרוני | דפוסי חשיבה] אם אתן, לא יישאר לי
- [קמצנות | חסרוני | אמונות] המשאבים מוגבלים ולא מספיקים
- [קמצנות | חסרוני | אמונות] נתינה היא בזבוז
- [קמצנות | חסרוני | אמונות] אני חייב להגן על מה שיש לי
- [קמצנות | מוגזם | דפוסי חשיבה] אני חייב לתת הכל
- [קמצנות | מוגזם | דפוסי חשיבה] לא משנה כמה זה עולה
- [קמצנות | מוגזם | דפוסי חשיבה] כסף הוא רק דבר חומרי
- [קמצנות | מוגזם | אמונות] ערכי נמדד במה שאני נותן
- [קמצנות | מוגזם | אמונות] חשבון בנק ריק הוא סימן לנדיבות
- [קמצנות | מוגזם | אמונות] דאגה לכסף היא חומרנות
- [קמצנות | חסרוני | דפוסי חשיבה] אין לי זמן לזה
- [קמצנות | חסרוני | דפוסי חשיבה] הזמן שלי יקר מדי
- [קמצנות | חסרוני | דפוסי חשיבה] אחרים מבזבזים את זמני
- [קמצנות | חסרוני | אמונות] זמן הוא המשאב המוגבל ביותר
- [קמצנות | חסרוני | אמונות] לתת מזמני זה להפסיד
- [קמצנות | חסרוני | אמונות] אחרים ינצלו את נכונותי
- [קמצנות | מוגזם | דפוסי חשיבה] אני תמיד זמין לאחרים
- [קמצנות | מוגזם | דפוסי חשיבה] הזמן שלי פחות חשוב
- [קמצנות | מוגזם | דפוסי חשיבה] אסור לי לסרב
- [קמצנות | מוגזם | אמונות] צרכי האחר קודמים לשלי
- [קמצנות | מוגזם | אמונות] לסרב זה להיות אנוכי
- [קמצנות | מוגזם | אמונות] ערכי נמדד בכמה אני זמין
- [קמצנות | חסרוני | דפוסי חשיבה] זה מגיע לי
- [קמצנות | חסרוני | דפוסי חשיבה] זה לא מספיק
- [קמצנות | חסרוני | דפוסי חשיבה] אף אחד לא באמת עוזר לי
- [קמצנות | חסרוני | אמונות] אנשים פועלים רק מאינטרס
- [קמצנות | חסרוני | אמונות] החיים קשים וחסרים
- [קמצנות | חסרוני | אמונות] מה שניתן לי אינו מספיק
- [קמצנות | מוגזם | דפוסי חשיבה] אני לא ראוי למה שקיבלתי
- [קמצנות | מוגזם | דפוסי חשיבה] אני חייב חוב ענק
- [קמצנות | מוגזם | דפוסי חשיבה] לעולם לא אוכל להחזיר מספיק
- [קמצנות | מוגזם | אמונות] קבלה יוצרת חוב אינסופי
- [קמצנות | מוגזם | אמונות] אסור לקבל בלי לתת יותר
- [קמצנות | מוגזם | אמונות] אני תמיד אסיר תודה וחייב
- [קמצנות | חסרוני | דפוסי חשיבה] הוא בטח עשה זאת בכוונה רעה
- [קמצנות | חסרוני | דפוסי חשיבה] אנשים הם אנוכיים בבסיסם
- [קמצנות | חסרוני | דפוסי חשיבה] אסור לתת אמון
- [קמצנות | חסרוני | אמונות] אנשים פועלים מאינטרס עצמי בלבד
- [קמצנות | חסרוני | אמונות] תמימות היא חולשה
- [קמצנות | חסרוני | אמונות] חשדנות מגנה עלי
