BEZEN | סליחה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [כללי | לא-מסווג | דפוסי חשיבה] אני רואה בסליחה כלי לשחרור ולהתקדמות, ולא כצעד לשכחת העבר.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין ששגיאות וכאב הם חלק בלתי נפרד מתהליך הלמידה וההתבגרות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתייחס לכל פגיעה כהזדמנות להבין, לצמוח ולשפר את היחסים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חמלה כלפי מי שפגע בי, תוך שמירה על ההבנה שהאדם גם הוא נושא עמו כאבים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש שלווה פנימית לאחר מתן סליחה, מה שמסייע לשיקום עצמי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה תחושת פתיחות ורצון לבנות קשרים מחודשים ומבוססים על אמון.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מביע סליחה באופן פעיל – משלים שיחות, מראה הבנה ומנסה לגשר על הפער.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתנהג בצורה שמאפשרת שיקום קשר, תוך שמירה על גבולות אישיים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מפעיל הקשבה אמפתית ומחפש דרכים לתמוך בתהליך השיקום.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שסליחה מחזקת את הנפש ומאפשרת התפתחות אישית וקבוצתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שסליחה איננה מחייבת שכחת העבר, אלא לימוד ממנו.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל אדם זכאי להזדמנות לתיקון ולהתבגרות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לשמור את הכאב והזיכרונות השליליים, מתוך מחשבה ששמירה עליהם תגן עליי מפגיעות עתידיות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהכעס הוא כלי הגנה שמבטיח שלא איפגע שוב.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שפגיעה שאינה נענית בכעס או זכרון, איננה זקוקה לסליחה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש כעס מתמשך ופגיעה עמוקה שמונעים ממני להתקדם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה תחושת חוסר צדק שמושכת אותי להישאר במצב של כאב.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש תסכול ואי-נחת פנימית בעקבות חוסר היכולת לשחרר את הפגיעה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נמנע מלהתקרב לאנשים הקשורים לפגיעה, על מנת לא לחוות את הכאב.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לשמור כעס במשך זמן רב, מה שמונע ממני ליצור קשרים חדשים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני לא מביע רצון לשנות את המצב ואף מתעקש על זיכרון הפגיעה כדרך להבטיח זהירות בעתיד.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שסליחה מפחיתה את יכולתי להרגיש ולזהות את ההגנה העצמית שלי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שלא ניתן לסלוח מבלי שהפוגע ישנה את דרכיו.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכאב הוא אמצעי לשמור על זהירות ולהימנע מפגיעות חוזרות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שסליחה חייבת להיות מיידית וללא התחשבות בהיקף הפגיעה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל פגיעה, קטנה או גדולה, דורשת סליחה מיידית כדי לשמור על שלום פנימי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שסליחה היא הפתרון לכל בעיה, גם אם היא פוגעת בהגנה העצמית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש לחץ פנימי להראות סלחן גם כאשר אני חווה כאב עמוק.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה נטייה לדחוק את תחושת הפגיעה כדי להדגיש את הרצון לסלוח.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש לעיתים בלבול בין הרצון לסלוח לבין הצורך לשמור על עצמי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לסלוח באופן אוטומטי, גם במצבים בהם יש צורך בהערכת הפגיעה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתנהג בצורה שעלולה להוביל להזנחת הגבולות האישיים ולהתעלמות מסימני אזהרה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לקצר את תהליכי העיבוד הרגשי כדי להגיע מהר להסלחה, גם אם לא עברתי תהליך של עיבוד הכאב.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שסליחה היא הפתרון האולטימטיבי לכל קונפליקט, ללא תלות בנסיבות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שסליחה מיידית מבטיחה קשרים חלקים, גם אם אינה מתחשבת בפגיעות חוזרות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שאין צורך לבחון מחדש את ההחלטה לסלוח, גם כאשר ניתנים סימנים לפגיעה מחודשת.
