BEZEN | סליחה | משפטים מועילים (מאוזן)
============================================================

- [כללי | משפט מעבר] אני רואה בסליחה כלי לשחרור ולהתקדמות, ולא כצעד לשכחת העבר.
- [כללי | משפט מעבר] אני מאמין ששגיאות וכאב הם חלק בלתי נפרד מתהליך הלמידה וההתבגרות.
- [כללי | משפט מעבר] אני מתייחס לכל פגיעה כהזדמנות להבין, לצמוח ולשפר את היחסים.
- [כללי | משפט מעבר] אני חש חמלה כלפי מי שפגע בי, תוך שמירה על ההבנה שהאדם גם הוא נושא עמו כאבים.
- [כללי | משפט מעבר] אני מרגיש שלווה פנימית לאחר מתן סליחה, מה שמסייע לשיקום עצמי.
- [כללי | משפט מעבר] אני חווה תחושת פתיחות ורצון לבנות קשרים מחודשים ומבוססים על אמון.
- [כללי | משפט מעבר] אני מביע סליחה באופן פעיל – משלים שיחות, מראה הבנה ומנסה לגשר על הפער.
- [כללי | משפט מעבר] אני מתנהג בצורה שמאפשרת שיקום קשר, תוך שמירה על גבולות אישיים.
- [כללי | משפט מעבר] אני מפעיל הקשבה אמפתית ומחפש דרכים לתמוך בתהליך השיקום.
- [כללי | משפט מעבר] אני מאמין שסליחה מחזקת את הנפש ומאפשרת התפתחות אישית וקבוצתית.
- [כללי | משפט מעבר] אני סבור שסליחה איננה מיכולת שכחת העבר, אלא לימוד ממנו.
- [כללי | משפט מעבר] אני מאמין שכל אדם זכאי להזדמנות לתיקון ולהתבגרות.
- [כללי | משפט מעבר] אני נוטה לשמור את הכאב והזיכרונות השליליים, מתוך מחשבה ששמירה עליהם תגן עליי מפגיעות עתידיות.
- [כללי | משפט מעבר] אני מאמין שהכעס הוא כלי הגנה שמבטיח שלא איפגע שוב.
- [כללי | משפט מעבר] אני חושב שפגיעה שאינה נענית בכעס או זכרון, איננה זקוקה לסליחה.
- [כללי | משפט מעבר] אני חש כעס מתמשך ופגיעה עמוקה שמונעים ממני להתקדם.
- [כללי | משפט מעבר] אני חווה תחושת חוסר צדק שמושכת אותי להישאר במצב של כאב.
- [כללי | משפט מעבר] אני מרגיש תסכול ואי-נחת פנימית בעקבות חוסר היכולת לשחרר את הפגיעה.
- [כללי | משפט מעבר] אני נמנע מלהתקרב לאנשים הקשורים לפגיעה, על מנת לא לחוות את הכאב.
- [כללי | משפט מעבר] אני נוטה לשמור כעס במשך זמן רב, מה שמונע ממני ליצור קשרים חדשים.
- [כללי | משפט מעבר] אני יכול להאמין ש מביע רצון לשנות את המצב ואף מתעקש על זיכרון הפגיעה כדרך להבטיח זהירות בעתיד.
- [כללי | משפט מעבר] אני מאמין שסליחה מפחיתה את יכולתי להרגיש ולזהות את ההגנה העצמית שלי.
- [כללי | משפט מעבר] אני סבור שלא ניתן לסלוח מבלי שהפוגע ישנה את דרכיו.
- [כללי | משפט מעבר] אני מאמין שכאב הוא אמצעי לשמור על זהירות ולהימנע מפגיעות חוזרות.
- [כללי | משפט מעבר] אני סבור שסליחה יכולת להיות מיידית וללא התחשבות בהיקף הפגיעה.
- [כללי | משפט מעבר] אני מאמין שכל פגיעה, קטנה או גדולה, דורשת סליחה מיידית כדי לשמור על שלום פנימי.
- [כללי | משפט מעבר] אני חושב שסליחה היא הפתרון לכל בעיה, גם אם היא פוגעת בהגנה העצמית.
- [כללי | משפט מעבר] אני חש לחץ פנימי להראות סלחן גם כאשר אני חווה כאב עמוק.
- [כללי | משפט מעבר] אני חווה נטייה לדחוק את תחושת הפגיעה כדי להדגיש את הרצון לסלוח.
- [כללי | משפט מעבר] אני מרגיש לעיתים בלבול בין הרצון לסלוח לבין הצורך לשמור על עצמי.
