BEZEN | פרספקטיבה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [צרות אופקים | חסרוני | דפוסי חשיבה] זה לא רלוונטי לנו כרגע
- [צרות אופקים | חסרוני | דפוסי חשיבה] בוא נתמקד רק במה שמולנו
- [צרות אופקים | חסרוני | דפוסי חשיבה] למה להסתכל רחוק כשיש בעיות קרובות
- [צרות אופקים | חסרוני | אמונות] מה שלא רואים לא רלוונטי
- [צרות אופקים | חסרוני | אמונות] התמקדות בפרטים היא תמיד עדיפה
- [צרות אופקים | חסרוני | אמונות] תכנון ארוך טווח הוא בזבוז זמן
- [צרות אופקים | מוגזם | דפוסי חשיבה] הפרטים לא חשובים, רק העיקרון
- [צרות אופקים | מוגזם | דפוסי חשיבה] הכל חלק ממערכת אחת גדולה
- [צרות אופקים | מוגזם | דפוסי חשיבה] אין טעם להתמקד בדוגמאות בודדות
- [צרות אופקים | מוגזם | אמונות] פרטים הם רק הסחות דעת
- [צרות אופקים | מוגזם | אמונות] רק מי שרואה את התמונה הגדולה באמת מבין
- [צרות אופקים | מוגזם | אמונות] חשיבה מערכתית פוטרת מבדיקת עובדות
- [צרות אופקים | חסרוני | דפוסי חשיבה] יש סיבה אחת ברורה לכל תוצאה
- [צרות אופקים | חסרוני | דפוסי חשיבה] בוא נפתור כל בעיה בנפרד
- [צרות אופקים | חסרוני | דפוסי חשיבה] אם נשנה X, נקבל Y, זה פשוט
- [צרות אופקים | חסרוני | אמונות] העולם פועל בקווים ישרים פשוטים
- [צרות אופקים | חסרוני | אמונות] כל בעיה יש לה פתרון ישיר אחד
- [צרות אופקים | חסרוני | אמונות] מורכבות היא רק תירוץ לחוסר החלטיות
- [צרות אופקים | מוגזם | דפוסי חשיבה] המערכת כל כך מורכבת שאיננו יכולים לעשות דבר
- [צרות אופקים | מוגזם | דפוסי חשיבה] כל התערבות תגרום לנזק בהכרח
- [צרות אופקים | מוגזם | דפוסי חשיבה] עלינו למפות את כל הקשרים לפני כל פעולה
- [צרות אופקים | מוגזם | אמונות] כל פעולה תגרום לנזק במקום אחר
- [צרות אופקים | מוגזם | אמונות] צריך להבין הכל לפני שעושים משהו
- [צרות אופקים | מוגזם | אמונות] המורכבות היא תמיד גדולה מדי לתפוס
- [צרות אופקים | חסרוני | דפוסי חשיבה] אם זה פורסם זה בטח נכון
- [צרות אופקים | חסרוני | דפוסי חשיבה] אנשים בעמדת סמכות תמיד צודקים
- [צרות אופקים | חסרוני | דפוסי חשיבה] אין צורך לבדוק את זה יותר מדי
- [צרות אופקים | חסרוני | אמונות] ביקורתיות היא שלילית או לא מנומסת
- [צרות אופקים | חסרוני | אמונות] רוב המידע המוצג הוא אמין
- [צרות אופקים | חסרוני | אמונות] ספקנות היא סימן לציניות
- [צרות אופקים | מוגזם | דפוסי חשיבה] אי אפשר לסמוך על שום דבר
- [צרות אופקים | מוגזם | דפוסי חשיבה] תמיד יש אג'נדה נסתרת
- [צרות אופקים | מוגזם | דפוסי חשיבה] כל הראיות יכולות להיות מזויפות
- [צרות אופקים | מוגזם | אמונות] אין אמת אובייקטיבית שניתן לדעת
- [צרות אופקים | מוגזם | אמונות] כל המומחים מוטים
