BEZEN | ויסות עצמי | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [כללי | לא-מסווג | דפוסי חשיבה] אני מנתח את מצבי הרגש וההשפעות של פעולותיי לפני קבלת החלטות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מזהה את הצורך לשליטה עצמית ומאפשר לעצמי להרגיש תוך שמירה על קור רוח.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב באופן רציונלי ומבוסס, תוך הבנה שמצבים משתנים ודורשים התאמה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש איזון פנימי המאפשר לי להתמודד עם לחצים בצורה מושכלת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה רגשות מתונים שמסייעים לי לשמור על יציבות רגשית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש ביטחון עצמי גם במצבים מאתגרים, תוך יכולת התמודדות עם תחושות עזות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מגיב בצורה שקולה ומדודה, תוך בחינה מוקפדת של הסיטואציה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוקט בפעולות שמתוכננות מראש ומבוססות על בקרה עצמית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מפעיל טכניקות להרגעה ולניהול לחץ במצבים מורכבים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שוויסות עצמי הוא מפתח להצלחה ולהתפתחות אישית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור ששילוב בין רגשות לבין מחשבה רציונלית מאפשר קבלת החלטות נכונה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שיכולת לשלוט בעצמי מסייעת לי להתמודד עם אתגרים בכל תחומי החיים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נזהר לא להיסחף לתוך תהליכי חשיבה ממושכים שמונעים פעולה מיידית כשנדרשת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להגיב באופן אימפולסיבי ללא מחשבה על ההשלכות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתקשה להעריך את השפעות הרגשות על פעולותיי בזמן אמת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתעלם מהצורך בתכנון מוקדם ובקרה עצמית, מה שמוביל להחלטות מהירות אך לא מתחשבות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה מצבי רוח קיצוניים שמשנים את תגובותיי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש עומס רגשי שאינו בשליטה, מה שמוביל לתחושת בלבול.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חוסר יכולת לייצב את הרגשות שלי, מה שעלול להוביל לתגובות לא מתואמות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לפעול על פי הרגשות הרגעיים שלי, ללא תכנון.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מגיב במהירות יתרה גם במצבים שבהם דרושה התבוננות מעמיקה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתקשה לשמור על סדר וארגון בפעולותיי, דבר שמוביל לעיתים לכישלונות בתקשורת ובביצוע.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין כי הרגשות הם בלתי ניתנים לשליטה, ולכן אני נכנע להם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהחלטות מהירות על בסיס תחושות הן הדרך הטבעית להתמודד עם מצבים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שללא ויסות עצמי, כל תגובה היא טבעית וחלק מהחוויה האנושית – גם אם היא פוגעת בי ובסובבים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתמודד עם קשיים ביצירת יציבות רגשית ובניהול מצבים מורכבים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לנתח ולבקר כל רגש בצורה קפדנית עד כדי דיכוי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שעליי לשלוט בכל תחושת התגובה שלי כדי לשמור על סדר מוחלט.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתייחס לכל רעיון או דחף כמשהו שיש לשלוט בו ללא מתן מרחב להבעה טבעית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש דיכוי רגשי שמונע ממני לבטא את תחושותיי באופן טבעי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה תחושת קור רגשית שמונעת ממני להתקרב לחוויות עוצמתיות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש לחץ פנימי שמונע ממני לתת לרגשות לבוא לידי ביטוי באופן אורגני.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לדכא תגובות רגשיות, מה שמוביל להתנהגות מכוונת וקפדנית מדי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נמנע מהבעת רגשות בסיטואציות חברתיות, גם כאשר זה נחוץ.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מציג תגובות מבוקרות עד כדי כך שלא ניתן לזהות את הרגשות האמיתיים שלי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שעליי לשלוט בכל תגובה רגשית כדי להימנע מכישלונות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהבעת רגשות היא חולשה שעליי להמעיט ממנה בכל מחיר.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין ששמירה על שליטה עצמית מוחלטת היא הדרך הבטוחה ביותר להתמודד עם מצבים מורכבים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להתנתק רגשית מהסביבה, מה שעלול לגרום לבדידות.
