BEZEN | ענווה | משפטים מועילים (מאוזן)
============================================================

- [כללי | משפט מעבר] אני מבין את ערכי כאדם ומכיר בכך שלכל אחד יש מה לתרום.
- [כללי | משפט מעבר] אני סבור שלהקשיב לאחרים וללמוד מהם הוא חלק בלתי נפרד מהצמיחה האישית.
- [כללי | משפט מעבר] אני רואה בהצלחותי תוצאה של שיתוף פעולה ומאמין שביקורת בונה מעשירה את הידע.
- [כללי | משפט מעבר] אני חווה תחושת הערכה עצמית שמאפשרת לי להיות פתוח להצלחות האחר.
- [כללי | משפט מעבר] אני חש חמלה והבנה כלפי עצמי וכלפי הזולת, גם בזמני הצלחה וגם בכישלון.
- [כללי | משפט מעבר] אני חש שמחה כשאני משתף את ההישגים עם הצוות ומכבד את התרומה של כל אחד.
- [כללי | משפט מעבר] אני משתף בהצלחות שלי ובטעויותיי כדי לקדם למידה והתפתחות קבוצתית.
- [כללי | משפט מעבר] אני מקבל ביקורת באופן פתוח ומיישם אותה לשיפור עצמי.
- [כללי | משפט מעבר] אני מפגין נכונות לתת קרדיט לאחרים ולהכיר בתרומתם.
- [כללי | משפט מעבר] אני מאמין שכל אדם זכאי להערכה ושכל הצלחה היא תוצר של מאמץ משותף.
- [כללי | משפט מעבר] אני סבור שלמידה מתמשכת והקשבה הן הבסיס לצמיחה אישית וקבוצתית.
- [כללי | משפט מעבר] אני מאמין שענווה אמיתית מחזקת את האמון והכבוד ההדדי.
- [כללי | משפט מעבר] אני נזהר שלא להמעיט בערכי עצמי תוך כדי פתיחות ללמידה.
- [כללי | משפט מעבר] אני מודע לכך שלעיתים לחץ חברתי יכול לעודד צניעות מופרזת – ולכן אני בודק את גבולותיי.
- [כללי | משפט מעבר] אני שואף להימנע מהשפעה של אמונות מקובעות שעלולות להפחית את הביטחון העצמי.
- [כללי | משפט מעבר] אני נוטה לראות את עצמי כמרכז ותורם עיקרי להצלחות, תוך התעלמות מהתרומה של אחרים.
- [כללי | משפט מעבר] אני סבור שהידע והכישורים שלי מעלים אותי מעל לרוב הסובבים אותי.
- [כללי | משפט מעבר] אני חושב שלא תמיד יש צורך ללמוד מאחרים, כיוון שכבר יש לי את התשובות הנכונות.
- [כללי | משפט מעבר] אני חש תחושת עליונות שמונעת ממני לחפש עזרה או להקשיב לאחרים.
- [כללי | משפט מעבר] אני חווה גאווה מוגברת כאשר הצלחותי מודגשות – ולעיתים גם זלזול בהצלחות הזולת.
- [כללי | משפט מעבר] אני מרגיש תסכול או חוסר סבלנות כלפי ביקורת, שמאתגרת את דימויי העצמי הגבוה.
- [כללי | משפט מעבר] אני מציג את הישגיי באופן בולט ואינו מאפשר להצלחות של אחרים לקבל מקום.
- [כללי | משפט מעבר] אני נוטה להתעלם מהערות ביקורתיות, מתוך אמונה שהן אינן רלוונטיות לי.
- [כללי | משפט מעבר] אני מקפיד לדבר על עצמי ולהבליט את תרומתי, גם אם זה על חשבון שיתוף פעולה.
- [כללי | משפט מעבר] אני מאמין שרק אני יכול להוביל בצורה נכונה, ולכן אין צורך להסתמך על דעות אחרות.
- [כללי | משפט מעבר] אני סבור שהצלחתי מעידה על ייחודי שאין לו מתחרים.
- [כללי | משפט מעבר] אני מאמין שהצלחות אישיות הן המדד העיקרי להערכה, גם אם זה מוביל להתעלמות מתרומתם של אחרים.
- [כללי | משפט מעבר] אני עלול לסגור את הראש לביקורת ובכך לא ללמוד מניסיון של אחרים.
- [כללי | משפט מעבר] אני סבור שהישגיי הם מינוריים ושאין לי תרומה משמעותית להביא.
- [כללי | משפט מעבר] אני נוטה להמעיט בכל מחמאה, מתוך מחשבה שאין לי מה לציין.
