BEZEN | עבודת צוות | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [כללי | לא-מסווג | דפוסי חשיבה] אני רואה את הצוות כמכלול שמשלב כוחות שונים להצלחה משותפת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהשיתוף בכל רעיון מוביל לפתרונות יצירתיים ומגוונים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שגישות שונות מעשירות את התהליך וקובעות את איכות ההחלטות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש עידוד והתלהבות כאשר אני משתף פעולה עם אחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה תחושת סיפוק וגאווה מהצלחות הקבוצתיות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש אמון וביטחון הדדי שמסייעים להתמודדות עם אתגרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מקשיב באופן פעיל לחברי הצוות ותומך בהבעת רעיונותיהם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני משתף פעולה באופן שווה ומחלק תפקידים בהתאם לכישרונות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מקדם דיאלוג פתוח ובונה תוך עידוד ביקורת בונה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל חבר צוות תורם תרומה ייחודית להצלחת הקבוצה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור ששיתוף פעולה מביא לתוצאות טובות יותר מאשר עבודה אישית בלבד.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהכבוד ההדדי והקשבה הם יסודות להצלחה קבוצתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להאמין שהעבודה האישית היא היעילה ביותר ומזלזל בכוח הקבוצה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהצטרפות לצוות יכולה לעכב את קבלת ההחלטות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שרעיונות של אחרים אינם תורמים באמת להצלחות אישיות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש תסכול או אדישות כלפי דיונים קבוצתיים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה תחושת ניכור כאשר מתבקשים לשתף פעולה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חוסר ביטחון לגבי תרומתי האמיתית לקבוצה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נמנע מהשתתפות פעילה בדיונים קבוצתיים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מעדיף לעבוד לבד גם כאשר נדרש שיתוף פעולה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני לא נוטה להציע פתרונות משותפים או לתמוך ברעיונות של אחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהצלחתי תלויה ביכולתי האישית בלבד.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור ששיתוף פעולה מעכב את קבלת ההחלטות הנכונה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שרעיונות שלי הם טובים יותר משל חברי הקבוצה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שכל החלטה חייבת להתקבל בהסכמה גורפת, גם במצבי חירום.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שכל רעיון, גם הקטן ביותר, חייב לעבור תהליך קבוצתי ארוך.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שאי-השתתפות של אף אחד אינה מקובלת – כולם חייבים להסכים בכל פרט.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חרדה מהחלטות אישיות ואי-היכולת לקבל החלטה במהירות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה לחץ מתמיד שלא לאכזב אף אחד בתוך הקבוצה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חרדה מפירוד או קונפליקט אם לא תהיה הסכמה מוחלטת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתמהמה בהגעה להחלטות במטרה לוודא שכל חברי הקבוצה מסכימים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לתת משקל רב מדי לכל רעיון, גם אם אינו רלוונטי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתפשר באופן קיצוני על רעיונות אישיים כדי לשמור על הרמוניה קבוצתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהסכמה מוחלטת היא הבסיס להצלחה בכל מיזם קבוצתי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שכל חילוקי דעות מעידים על כישלון בערכים קבוצתיים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהאחדות הקבוצתית חשובה עד כדי כך שכל אינדיבידואל צריך לוותר על דעתו האישית.
