BEZEN | הכרת תודה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [כללי | לא-מסווג | דפוסי חשיבה] אני מתבונן בהצלחותיי ובהצלחות הסובבים אותי כמקור להשראה והעצמה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שלהעריך את מה שיש זה להכיר בעובדה שכל דבר בחיים הוא מתנה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שכל יום מציע סיבות חדשות להכיר תודה, גם בסיטואציות מאתגרות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה שמחה פנימית כאשר אני מזכיר לעצמי את הטוב שקיים סביבי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש חום ואהבה כלפי האנשים שמעשירים את חיי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש סיפוק עמוק שמגיע מהכרת תודה כנה על הדברים הקטנים והגדולים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוהג לבטא תודה באופן יום-יומי – במילים, במעשים ובתגובות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני משתף אחרים בהתרשמותי ובתודה על מה שקיבלתי, מה שמחזק את הקשר הבין-אישי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתמיד בהבעת תודה גם במצבים קשים, מתוך הבנה שכל חוויה מחזקת את הלמידה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהכרת תודה היא כלי מרכזי לשיפור איכות החיים וליצירת סביבה חיובית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהערכה על מה שיש מעצימה את תחושת הערך העצמי והחיבור לאחר.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שלהכיר תודה הוא גם הכרה במאמץ ובתרומה של אחרים להצלחותי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נזהר שלא להפוך את ההכרת תודה לריטואל ריק, אלא לתת לה משמעות עמוקה ואותנטית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מודע לכך שלפעמים יש לקצב את ההבעת התודה כדי שלא תתפרש כפחות כנה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתרגל להקשיב לביקורת פנימית ולוודא שהכרת התודה מגיעה מתוך אמונה אמיתית, ולא מתוך צורך חברתי בלבד.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להמעיט בערך הדברים החיוביים שקיימים בחיי ובחיי הסובבים אותי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שהצלחות הן מובנות מאליהן ואין צורך להתמקד בהן.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתייחס לחוויות טובות כמשהו זמני ואינו דורש הכרת תודה מעמיקה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש לעיתים ריקנות או חוסר חיבור רגשי כלפי מה שקורה סביבי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה אדישות כלפי רגעים שמאחרים מוצאים בהם משמעות והשראה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש לעיתים תסכול כאשר אני לא מצליח לחוש את תחושת ההודיה כפי שהיא.
