BEZEN | התמדה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [עצלנות | חסרוני | דפוסי חשיבה] אעשה את זה מאוחר יותר
- [עצלנות | חסרוני | דפוסי חשיבה] זה דורש יותר מדי מאמץ
- [עצלנות | חסרוני | דפוסי חשיבה] אולי יש דרך קלה יותר
- [עצלנות | מוגזם | דפוסי חשיבה] אף פעם לא מספיק טוב
- [עצלנות | מוגזם | דפוסי חשיבה] אסור לנוח עד שהכל מושלם
- [עצלנות | מוגזם | דפוסי חשיבה] צריך תמיד להיות הכי חרוץ
- [עצלנות | חסרוני | דפוסי חשיבה] זה קשה מדי בשבילי
- [עצלנות | חסרוני | דפוסי חשיבה] אני כנראה לא מתאים לזה
- [עצלנות | חסרוני | דפוסי חשיבה] לא שווה את המאמץ
- [עצלנות | מוגזם | דפוסי חשיבה] אני חייב להמשיך בדיוק באותה דרך
- [עצלנות | מוגזם | דפוסי חשיבה] ויתור הוא כישלון
- [עצלנות | מוגזם | דפוסי חשיבה] אסור לשנות תוכניות
- [עצלנות | חסרוני | דפוסי חשיבה] אולי אנסה משהו אחר
- [עצלנות | חסרוני | דפוסי חשיבה] קשה לי להתרכז בדבר אחד
- [עצלנות | חסרוני | דפוסי חשיבה] יש כל כך הרבה דברים מעניינים לעשות
- [עצלנות | מוגזם | דפוסי חשיבה] רק זה חשוב כרגע
- [עצלנות | מוגזם | דפוסי חשיבה] אין לי זמן לדברים אחרים
- [עצלנות | מוגזם | דפוסי חשיבה] חייבים לסיים את זה בכל מחיר
- [עצלנות | חסרוני | דפוסי חשיבה] מה אני ארוויח מזה?
- [עצלנות | חסרוני | דפוסי חשיבה] לא שווה לעשות אם אף אחד לא יראה
- [עצלנות | חסרוני | דפוסי חשיבה] צריך שיהיה תגמול
- [עצלנות | מוגזם | דפוסי חשיבה] לא אכפת לי מה אחרים חושבים
- [עצלנות | מוגזם | דפוסי חשיבה] תגמול כספי לא רלוונטי בכלל
- [עצלנות | מוגזם | דפוסי חשיבה] אני עושה רק מה שמדבר אליי
- [עצלנות | חסרוני | דפוסי חשיבה] אני רוצה את זה עכשיו
- [עצלנות | חסרוני | דפוסי חשיבה] קשה לי להתנגד
- [עצלנות | חסרוני | דפוסי חשיבה] אתמודד עם ההשלכות מאוחר יותר
- [עצלנות | מוגזם | דפוסי חשיבה] אסור לסטות מהתוכנית
- [עצלנות | מוגזם | דפוסי חשיבה] רגשות הם חולשה
- [עצלנות | מוגזם | דפוסי חשיבה] אני חייב לשלוט בכל היבט בחיי
- [עצלנות | חסרוני | דפוסי חשיבה] אם זה לא עובד, כנראה זה בלתי אפשרי
- [עצלנות | חסרוני | דפוסי חשיבה] אני לא יודע מה לעשות עכשיו
- [עצלנות | חסרוני | דפוסי חשיבה] אני תקוע ללא מוצא
- [עצלנות | מוגזם | דפוסי חשיבה] נראה לי שזו לא הדרך הנכונה
- [עצלנות | מוגזם | דפוסי חשיבה] בוא ננסה משהו חדש לגמרי
- [עצלנות | מוגזם | דפוסי חשיבה] אני צריך לשנות גישה
- [עצלנות | חסרוני | דפוסי חשיבה] למה זה לוקח כל כך הרבה זמן?
