BEZEN | התמדה | משפטים מועילים (מאוזן)
============================================================

- [עצלנות | דפוסי חשיבה] אני מוכן להשקיע את המאמץ הנדרש
- [עצלנות | דפוסי חשיבה] אפשר להשיג כמעט כל דבר עם עבודה קשה
- [עצלנות | דפוסי חשיבה] צעד אחר צעד אגיע למטרה
- [עצלנות | דפוסי חשיבה] אני אמשיך למרות הקושי
- [עצלנות | דפוסי חשיבה] כישלון זמני הוא חלק מהדרך
- [עצלנות | דפוסי חשיבה] זה ייקח זמן, אבל אני אצליח
- [עצלנות | דפוסי חשיבה] זו המטרה, וזה מה שאעשה להשיג אותה
- [עצלנות | דפוסי חשיבה] אני שומר על מיקוד במה שחשוב
- [עצלנות | דפוסי חשיבה] אני מתעדף נכון
- [עצלנות | דפוסי חשיבה] אני עושה זאת כי זה חשוב לי
- [עצלנות | דפוסי חשיבה] אני מוצא עניין בתהליך עצמו
- [עצלנות | דפוסי חשיבה] יש משמעות עמוקה במה שאני עושה
- [עצלנות | דפוסי חשיבה] אני יודע מה חשוב יותר בטווח הארוך
- [עצלנות | דפוסי חשיבה] אני יכול לדחות סיפוקים
- [עצלנות | דפוסי חשיבה] אני שולט בדחפים שלי
- [עצלנות | דפוסי חשיבה] אם דרך אחת לא עובדת, אנסה גישה אחרת
- [עצלנות | דפוסי חשיבה] אפשר להגיע למטרה בדרכים שונות
- [עצלנות | דפוסי חשיבה] חשוב להתאים את האסטרטגיה למציאות
- [עצלנות | דפוסי חשיבה] זה ייקח זמן, וזה בסדר
- [עצלנות | דפוסי חשיבה] אני יכול לחכות לתוצאות
- [עצלנות | דפוסי חשיבה] צריך לתת לתהליך להבשיל
- [עצלנות | דפוסי חשיבה] כישלון הוא משוב, לא תווית
- [עצלנות | דפוסי חשיבה] אני לומד מטעויות
- [עצלנות | דפוסי חשיבה] נפילה היא הזדמנות לקום חזק יותר
