BEZEN | הוגנות | משפטים מועילים (מאוזן)
============================================================

- [כללי | משפט מעבר] אני רואה את כל המקרים והאנשים בעיניים אובייקטיביות, ללא הטיות.
- [כללי | משפט מעבר] אני מאמין שהערכת הפרט צריכה להתבסס על מעשיו ולא על דעות קדומות.
- [כללי | משפט מעבר] אני משלב שיקול דעת רחב עם הבנה של ההקשרים האישיים והחברתיים.
- [כללי | משפט מעבר] אני חש אמפתיה ואכפתיות כלפי כל אדם באותה מידה.
- [כללי | משפט מעבר] אני חש סיפוק וביטחון כאשר אני נוקט בגישה הוגנת בכל מצב.
- [כללי | משפט מעבר] אני חווה רגשות של שוויון והערכה פנימית שמקדמים תחושת צדק.
- [כללי | משפט מעבר] אני מתנהג בשקיפות וביושרה בכל תהליכי קבלת החלטות.
- [כללי | משפט מעבר] אני מעניק לכל אדם הזדמנות שווה להשתתף ולהביע דעת.
- [כללי | משפט מעבר] אני מוביל בדיון פתוח ומאזן בין צרכי הפרט לצרכי הכלל.
- [כללי | משפט מעבר] אני מאמין שכל אדם זכאי ליחס שווה והוגן, ללא יוצא מן הכלל.
- [כללי | משפט מעבר] אני סבור שצדק ושוויון הם היסוד לבניית יחסים חברתיים בריאים.
- [כללי | משפט מעבר] אני מאמין שהוגנות מעצימה את הקשר והאמון בין אנשים.
- [כללי | משפט מעבר] אני נוטה לשפוט אנשים על בסיס דעות קדומות ולא על פי עובדות.
- [כללי | משפט מעבר] אני סבור שלעיתים צרכי חלק מהאנשים פחות חשובים מאחרים.
- [כללי | משפט מעבר] אני מאמין שהעדפה אישית מוצדקת, גם אם היא מובילה לטיפול לא שווה.
- [כללי | משפט מעבר] אני חש זלזול כלפי קבוצות או פרטים שאינם תואמים את השקפת עולמי.
- [כללי | משפט מעבר] אני חש תחושת עליונות שמגבילה את יכולתי להכיר בצדק של אחרים.
- [כללי | משפט מעבר] אני חווה רגשות של חוסר שביעות רצון כאשר איני מקבל את מה שאני רואה כהוגן.
- [כללי | משפט מעבר] אני נוהג להעדיף אנשים מסוימים בסיטואציות קבוצתיות, תוך הפגנת הטיה.
- [כללי | משפט מעבר] אני נוטה לקבל החלטות שמבססות יחס שונה בהתאם למעגלי ההיכרות האישיים שלי.
- [כללי | משפט מעבר] אני מתנהג בצורה שמעצימה יחסים אישיים על חשבון צדק רחב.
- [כללי | משפט מעבר] אני מאמין שישנם אנשים שצריכים לקבל יחס מיוחד בשל מעמד או קשרים אישיים.
- [כללי | משפט מעבר] אני סבור שלא כל אדם זכאי לאותה מידה של יחס וצדק.
- [כללי | משפט מעבר] אני מאמין שהצלחת הפרט תלויה גם בקשרים ובמערכות יחסים, ולא רק במעשים.
- [כללי | משפט מעבר] אני סבור שכל מקרה יכול להיבחן לפי סטנדרטים אחידים, ללא מקום לחריגה.
- [כללי | משפט מעבר] אני מאמין שאין להכניס כל התחשבות בנסיבות האישיות, וכל דבר נמדד בצורה אבסולוטית.
- [כללי | משפט מעבר] אני חושב שכל טעות, קטנה ככל שתהיה, מצדיקת תגובה חמורה ללא גמישות.
- [כללי | משפט מעבר] אני חש חוסר סבלנות וכעס כאשר אנשים לא עומדים בסטנדרטים הנוקשים שלי.
- [כללי | משפט מעבר] אני חש תסכול עמוק כאשר ניכרת סטייה מהעקרונות המוגדרים.
- [כללי | משפט מעבר] אני חווה חרדה פנימית מחשש לאובדן ה"צדק" המוחלט, מה שמוביל לתחושת מתיחות מתמדת.
