BEZEN | מנהיגות | משפטים מועילים (מאוזן)
============================================================

- [כללי | משפט מעבר] אני מקשיב לדעות שונות ומעריך תרומות מגוונות.
- [כללי | משפט מעבר] אני מתכנן אסטרטגיות בצורה מערכתית ומתחשבת בכל הגורמים.
- [כללי | משפט מעבר] אני רואה בטעויות הזדמנות ללמידה והתפתחות.
- [כללי | משפט מעבר] אני חש ביטחון והשראה פנימית שמעבירה השראה לצוות.
- [כללי | משפט מעבר] אני חש הערכה ואמפתיה כלפי הצוות והצלחותיו.
- [כללי | משפט מעבר] אני חש חיבור ואמון המאפשר תגובות רגשיות מאוזנות גם בזמנים מאתגרים.
- [כללי | משפט מעבר] אני מקבל החלטות מושכלות תוך הקשבה לכל חברי הצוות.
- [כללי | משפט מעבר] אני מעודד שיתוף פעולה ומאפשר לצוות לקחת יוזמה.
- [כללי | משפט מעבר] אני מוביל בדוגמה אישית, מפעיל תמיכה והכוונה מתונה.
- [כללי | משפט מעבר] אני מאמין שכל אדם יכול לתרום ולהתפתח בסביבת עבודה משותפת.
- [כללי | משפט מעבר] אני מאמין שהקשבה ודיאלוג הם הבסיס להצלחה קבוצתית.
- [כללי | משפט מעבר] אני מאמין שהמנהיג הטוב מעצים את הצוות ומאפשר צמיחה אישית וקבוצתית.
- [כללי | משפט מעבר] אני נוטה להניח שאחרים יובילו את העניינים, ואיני סבור שיכולותיי משפיעות.
- [כללי | משפט מעבר] אני חושב שהמעורבות שלי אינה חשובה בהחלטות הקריטיות.
- [כללי | משפט מעבר] אני מוותר על יוזמה מתוך תחושה שאינני מוסמך להוביל.
- [כללי | משפט מעבר] אני חש חוסר ביטחון עצמי שמעמעם את יכולתי להנהיג.
- [כללי | משפט מעבר] אני חש חרדה מהתמודדות עם קבלת החלטות משמעותיות.
- [כללי | משפט מעבר] אני חש חוסר אחריות שמוביל לניתוק רגשי מהצוות.
- [כללי | משפט מעבר] אני נוטה להימנע מלקחת יוזמה בסיטואציות קריטיות.
- [כללי | משפט מעבר] אני תלוי בדעות ובהוראות של אחרים לקבלת החלטות.
- [כללי | משפט מעבר] אני מהסס לפעול גם כאשר נדרש תגובה מיידית.
- [כללי | משפט מעבר] אני מאמין שהמנהיגות היא תכונה שמיועדת לאנשים "מיוחדים" בלבד.
- [כללי | משפט מעבר] אני מאמין שכל התערבות מצידי עלולה להוביל לטעויות חמורות.
- [כללי | משפט מעבר] אני מאמין שהכישרון הטבעי שלי אינו מתאים להובלה ולניהול.
- [כללי | משפט מעבר] אני מאמין שרק החלטותי הן הנכונות ואין צורך בהיוועצות.
- [כללי | משפט מעבר] אני סבור שאין מקום לדיון – רק אני יודע מה הכי טוב לצוות.
- [כללי | משפט מעבר] אני חושב שכל טעות נובעת מחוסר הקשבה של אחרים.
- [כללי | משפט מעבר] אני חש עליונות ועצמתיות שמכתיבות את סגנון ההנהגה שלי.
- [כללי | משפט מעבר] אני חש כעס ותסכול כאשר אחרים לא מקשיבים או מתנגדים.
- [כללי | משפט מעבר] אני חש תחרותיות מוגזמת שמובילה לעיתים לתחושות קנאה.
